Array Name	Batch
GSM92240.CEL	1
GSM92241.CEL	1
GSM92242.CEL	1
GSM92243.CEL	1
GSM92244.CEL	1
GSM92245.CEL	1
GSM92246.CEL	1
GSM92247.CEL	1
GSM92248.CEL	1
GSM92249.CEL	1
GSM92250.CEL	1
GSM92251.CEL	1
GSM92252.CEL	1
GSM92253.CEL	1
GSM92254.CEL	1
GSM92255.CEL	1
GSM92256.CEL	1
GSM92257.CEL	1
GSM92258.CEL	1
GSM92259.CEL	1
GSM92260.CEL	1
GSM92261.CEL	1
GSM92262.CEL	1
GSM92263.CEL	1
GSM92264.CEL	1
GSM92265.CEL	1
GSM92266.CEL	1
GSM92267.CEL	1
GSM92268.CEL	1
GSM92269.CEL	1
GSM92270.CEL	1
GSM92271.CEL	1
GSM92272.CEL	1
GSM92273.CEL	1
GSM92274.CEL	1
GSM92275.CEL	1
GSM92276.CEL	1
GSM115046_M0_D1_chipA.CEL	2
GSM115047_M0_D2_chipA.CEL	2
GSM115048_M0_D3_chipA.CEL	2
GSM115049_Md3_D1_chipA.CEL	2
GSM115050_Md3_D2_chipA.CEL	2
GSM115051_Md3_D3_chipA.CEL	2
GSM115052_Mph_D1_chipA.CEL	2
GSM115053_Mph_D2_chipA.CEL	2
GSM115054_Mph_D3_chipA.CEL	2
GSM115055_M1_D1_chipA.CEL	2
GSM115056_M1_D2_chipA.CEL	2
GSM115057_M1_D3_chipA.CEL	2
GSM115058_M2_D1_chipA.CEL	2
GSM115059_M2_D2_chipA.CEL	2
GSM115060_M2_D3_chipA.CEL	2
